,sentence,entities
17,"Kacy Cullen,
dkacy@pennmedicine.upenn.edu
RECEIVED 14 June 2023
ACCEPTED 30 August 2023
PUBLISHED 02 October 2023
CITATION
Acero VP, Cribas ES, Browne KD,Rivellini O, Burrell JC, O ’Donnell JC, Das S
and Cullen DK (2023), Bedside to bench:the outlook for psychedelic research.Front.","['Front', 'Cribas', 'Donnell', 'Cullen', 'Bedside', 'Acero', 'Burrell', 'June', 'August', 'Browne', 'October', 'Das', 'Kacy', 'Rivellini']"
18,Pharmacol.,['Pharmacol']
19,"14:1240295.
doi: 10.3389/fphar.2023.1240295
COPYRIGHT
© 2023 Acero, Cribas, Browne, Rivellini,
Burrell, O ’Donnell, Das and Cullen.","['Cribas', 'Donnell', 'Cullen', 'Acero', 'Burrell', 'Browne', 'Das', 'Rivellini']"
20,"This is
an open-access article distributed underthe terms of the Creative Commons
Attribution License (CC BY) .","['This', 'Creative', 'Attribution', 'License', 'Commons']"
21,"The use,
distribution or reproduction in otherforums is permitted, provided the originalauthor(s) and the copyright owner(s) are
credited and that the original publication
in this journal is cited, in accordance withaccepted academic practice.",['The']
22,"No use,distribution or reproduction is permittedwhich does not comply with these terms.
Frontiers in Pharmacology frontiersin.org 01TYPE Review
PUBLISHED 02 October 2023
DOI10.3389/fphar.2023.1240295 therapeutic potential and psychopharmacological characteristics of
plant-based and synthetic psychedelic compounds.","['Pharmacology', 'October', 'Review', 'Frontiers']"
23,"Unfortunately,all biomedical and scienti ﬁc research into these psychedelic
substances ceased upon passage of the 1970 ControlledSubstances Act, which classi ﬁed these compounds as Schedule I,
the category reserved for the most dangerous and abusable of all
illicit drugs.","['Unfortunately', 'Schedule', 'Act']"
24,"However, in recent years, grassroots efforts and shifting
public opinion have led to these ancient medicines being once againobjects of intensive scienti ﬁc scrutiny and their clinical potential is
being explored.
For instance, randomized double-blind clinical trials have
shown psychedelic-assisted therapy to be highly ef ﬁcacious in
treating treatment-resistant depression (TRD), major depressivedisorder (MDD) post-traumatic stress disorder (PTSD), and
substance abuse disorders (SUD) ( Mithoefer et al., 2019 ;Carhart-
Harris1 et al., 2018 ;Noorani et al., 2018 ;Gasser et al., 2014 ).","['Mithoefer', 'Noorani', 'For', 'Carhart', 'However', 'Gasser']"
25,"Of note,
3,4-Methyl enedioxymethamphetamine (MDMA) in MDMA-assisted psychotherapy for the treatment of moderate-to-severePTSD was found to cause symptom remission or reduction thatpersisted for up to 3.5 years after therapy ( Mithoefer et al., 2013 ).
The recently published phase 3 clinical trial results for MDMA-assisted therapy for PTSD showed that 67% of patients no longer
met the PTSD criteria, 21% had a clinically signi ﬁcant response, and
12% had no response, while the placebo with therapy group had 32%of patients no longer meeting the PTSD criteria, 30% with a clinicallymeaningful response, and 30% with no response ( Mitchell et al.,
2021 ).","['Methyl', 'Mithoefer', 'Mitchell', 'The']"
26,"The remarkable clinical ef ﬁcacy has culminated in the
opening of multi-million-dollar research centers to investigatetherapeutic applications of psychedelics at Johns HopkinsUniversity, Imperial College London, and University of
California-Berkeley.
Despite this recent surge in psychedelic research, the full range
of effects and biological mechanisms of action are far fromunderstood ( Garcia-Romeu et al., 2016 ;Flanagan and Nichols,
2018 ).","['Johns', 'Despite', 'Nichols', 'Imperial', 'Flanagan', 'The', 'Romeu', 'London', 'College', 'Garcia', 'California', 'University', 'Berkeley']"
27,"Most clinical research has been focused on assessing the
psychological –rather than basic physiological –mechanisms of
psychedelics.",['Most']
28,"Given these compounds ability to inducetransformative and personally meaningful experiences, which
correlate with positive behavioral changes, there is a tendency to
disregard how psychedelics modulate physiological processes.Psychological wellbeing, however, is interwoven with variousphysiological systems, e.g., proper neuroendocrine andinﬂammatory function.","['Psychological', 'Given']"
29,"Understanding the non-psychological
effects of psychedelics may also allow for development of a rangeof novel clinical applications.",['Understanding']
30,"We suggest that such foundationalinvestigations will require multi-disciplinary investigations which
leverage the collective strengths of in silico ,in vitro ,in vivo models of
homeostatic as well as injury or disease-based conditions.
2 Current trends in psychedelic
research
Plant medicines containing psychedelic compounds, such as
ayahuasca, peyote, psilocybin mushrooms, played a central spiritual
and medicinal role in indigenous cultures for millennia ( Naples,
2013 ;Armijos et al., 2014 ;Carod-Artal, 2015 ;Jay, 2019 ;Arie et al.,
2020 ).","['Artal', 'Arie', 'Carod', 'Armijos', 'Plant', 'Current', 'Jay', 'Naples']"
31,"Psychedelics do not have a universally sharedpharmacological action or chemical structure, and are often
deﬁned by the profound and meaningful subjective psychedelic
experiences they induce, e.g., a dissolution of the ego,a“mystical ”
phenomenological experience, and impairment of spatiotemporalprocessing ( Krupitsky et al., 2002 ;Dakwar et al., 2014 ;Zanos et al.,
2018 ).","['Psychedelics', 'Zanos', 'Krupitsky', 'Dakwar']"
32,"However, these experiences can also be induced by non-
psychedelic compounds, such as the fast-acting antidepressant
dissociative ketamine.",['However']
33,"Thus, rather than a strict all-encompassingdeﬁnition, the categorization of these diverse drugs as “psychedelics ”
is somewhat arbitrary.
Psychedelics may be organized into distinct classes based on
their structural characteristics: 1) tryptamines , such as psilocin (the
active form of psilocybin) and N,N-dimethyltryptamine (DMT); 2)lysergamides , such as lysergic acid diethylamide (LSD); 3)
phenethylamines , including 3,4-Methyl
enedioxymethamphetamine (MDMA) and 2,5-dimethoxy-4-iodoamphetamine (DOI); 4) cannabinoids like Δ-9-
tetrahydrocannabinol ;and 5) terpenoids , such as Salvinorin A
(Szabo, 2015 ).","['Salvinorin', 'Methyl', 'Szabo', 'Thus', 'Psychedelics']"
34,"Although, psychedelics may also be categorized by
their pharmacological action (serotonergic, glutamatergic,dopaminergic, etc.), they often have a complex pharmacologicalproﬁle.",['Although']
35,"Ultimately, action on a single receptor type cannot
adequately explain their acute or chronic effects ( Garcia-Romeu
et al., 2016 ;Zamberlan et al., 2018 ).","['Ultimately', 'Romeu', 'Zamberlan', 'Garcia', 'receptor']"
36,"Further research into
psychedelic compounds and the mechanisms that mediate theirclinical ef ﬁcacy may eventually allow for a more meaningful
classi ﬁcation schema.
2.1 Need for preclinical and mechanistic
studies
Although psychedelics have great therapeutic promise, the
psychophysiological theories explaining how psychedelicsmanifest their clinical effects are nascent.","['Need', 'Although', 'Further']"
37,"Research leveragingbrain imaging techniques has played a signi ﬁcant role in
addressing this gap in knowledge.",['Research']
38,"For example, it appears thatcharacteristics of the psychedelic experience are constructed by a
combination of diminished top-down modulation of sensory
processing, an increase in the total content of one ’s sensorium,
and functional disintegration of distributed networks.",['For']
39,Carhart-Harris et al.,"['Carhart', 'Harris']"
40,"formulated the Relaxed Brain Under Psychedelics(REBUS) model of psychological annealing under psychedelics,which posits that psychedelics induce a state ofneuropsychological plasticity under which embedded cognitivebiases can be re-written.","['Psychedelics', 'Relaxed', 'Brain', 'Under']"
41,"This a framework helps explain why
psychedelics can aid in treatment of such a wide array of
psychiatric disorders ( Carhart-Harris and Friston, 2019 ).
While human brain research, particularly neuroimaging, has
been instrumental in advancing our understanding of thepsychedelic experience, identi ﬁcation of novel therapeutic targets,
and understanding possible modes of action.","['This', 'While', 'Friston', 'Harris', 'Carhart']"
42,"Undeniably, the mainstrength of human neuroimaging research is that it allows foridenti ﬁcation of neural correlates of speci ﬁc elements of the
subjective experience, such as those assessed by the mystical
experience questionnaire, which are impossible to isolate inanimal models.",['Undeniably']
43,"However, human neuroimaging research has itslimits.",['However']
44,"For instance, there is huge variability in how studies are
Frontiers in Pharmacology frontiersin.org 02Acero et al.","['Pharmacology', 'Frontiers', 'For']"
45,"Moreover, the small
sample sizes and lack of standards for the ﬁeld makes it dif ﬁcult to
pool together datasets in order to generate larger sample sizesnecessary for reproducible brain-wide association studies ( Marek
et al., 2022 ).","['Moreover', 'Marek', 'gene']"
46,"Moreover, it is highly correlational due to its low
spatiotemporal resolution and non-ideal for robust probing ofcellular mechanisms.",['Moreover']
47,"This is where in vitro and in vivo research
comes into play –these experimental approaches allow for more
high-throughput, mechanistic understanding of how psychedelicseffect neuronal circuits and cellular processes, and thus complimentthe insights derived from human neuroimaging studies.
Historically, for a diverse class of compounds, robust preclinical
in vitro and in vivo research has been vital for establishing a
foundational pharmacological understanding and will thereforebe crucial in advancing our understanding of psychedelics.","['This', 'Historically']"
48,"Forinstance, animal models permit invasive measurements that areimpossible with humans, yet this has been poorly leveraged in theﬁeld.",['Forinstance']
49,"Speci ﬁcally, in vitro orin vivo electrophysiology studies using
techniques with high spatiotemporal resolution could be utilized toexplore characterized processes for mediating spatial and temporal
processing.",['Speci']
50,"For instance, Domenico et al.","['Domenico', 'For']"
51,"found LSD impaired
communication between cortical sensory circuits andhippocampal place cells, and triggered oscillatory activity whichnaturally occurs during wakefulness-to-sleep transitions ( Domenico
et al., 2021 ).",['Domenico']
52,"This helps further understand the neurological
substrate for hallucinatory experiences.",['This']
53,"Extending beyond therealm of neuroscience, animal models have also contributed toour understanding of the broader pharmacological properties of
psychedelic compounds.",['Extending']
54,"For instance, rodent models of allergic
asthma were utilized to screen serotonergic compounds for maximalanti-in ﬂammatory effects and elucidate the pathways necessary for
anti-in ﬂammatory action in lung tissue ( Flanagan et al., 2021 ).
While mammalian models are traditionally used for assessmentsof cellular and molecular mechanisms, there are alternative high-throughput models that would be ideal for preliminary screeningand characterization of novel psychedelic compounds in healthy and
diseased individuals.","['Flanagan', 'While', 'For']"
55,"For instance, the zebra ﬁsh (Danio rerio ) model
has a fully characterized genome and nervous system, is low-costand high throughput, and has high physiological homology tohumans ( Neelkantan et al., 2013 ).","['Neelkantan', 'Danio', 'For']"
56,"Moreover, the response of this
model to various psychedelic compounds has been wellcharacterized ( Neelkantan et al., 2013 ).
Furthermore, due to regulatory and ﬁnancial barriers to
psychedelic research, only a relatively narrow range of
compounds have been thoroughly investigated.","['Moreover', 'Furthermore', 'Neelkantan']"
57,"In fact, Dr.
Alexander Shulgin ’sPiHKAL: A Chemical Love Story is an
astonishing chemical catalog of over 170 novel psychedeliccompounds (including MDMA) which has been largely ignoredacross in vitro, in vivo , and, especially, human studies ( Dean et al.,
2013 ).","['Shulgin', 'Dean', 'Story', 'Chemical', 'Alexander', 'Love']"
58,"While there are in vivo studies involving rodent or zebra ﬁsh
models, these studies often only assess effects of non-scheduledcompounds like 2,5-dimethoxy-4-iodamphetamine (DOI).
Furthermore, most studies lack informative comparisons across
different psychedelics, often due to the dif ﬁculty of acquiring
multiple compounds.","['Furthermore', 'While']"
59,"However, there are some landmark studies,e.g., which conduct robust comparisons across various psychedeliccompounds with distinct pharmacological pro ﬁ
les.",['However']
60,"Such studies
include Ly et al.",['Such']
61,"(2018) that provided a robust characterization of
the plasticity promoting effects of psychedelics and the cellularsignaling pathways which mediating these effects, and Nardou
et al.",['Nardou']
62,"While such studies have
robust cross-drug comparisons, they often focus on otherwise wellstudied compounds (e.g., LSD, psilocybin, MDMA, ketamine,ibogaine), and there still remains a need to examine understudiedclasses of psychedelic compounds, such as the 2C series drugs (ring-substituted phenethylamines).",['While']
63,"It could be advantageous to expandour investigation of psychedelics to include more compounds inorder to build a robust understanding of their effects and
mechanisms, and discover more nuanced therapeutic applications
for distinct compounds.
The utility of in silico research, i.e., computational models and
simulations, in psychedelic research has become increasinglyevident.",['The']
64,"A noteworthy example of the application ofcomputational models is the Wacker et al study that revealed thecrystal structure of an LSD-bond human 5-HT
2Areceptor using
molecular dynamics smulations ( Wacker et al., 2017 ).","['Wacker', 'receptor']"
65,"This work
delineated the active-state structure of the bound receptor, providing
crucial insights into the molecular mechanisms underlyingpsychedelic actions, thereby potentially accelerating drugdiscovery for a variety of novel compounds as well ( Wacker
et al., 2017 ).","['This', 'receptor', 'Wacker']"
66,"Moreover, recent advancements in arti ﬁcial
intelligence (AI) and virtual reality (VR) technology areincreasing the functionality and utility of in silico approaches for
psychedelic research.",['Moreover']
67,"By utilizing predictive models based on the
structure-activity relationship (SAR) of known psychedelic
molecules, AI algorithms can generate new compounds withimproved pharmacological properties and reduced side effects.Such techniques are especially useful in processing large datasets,which is an essential aspect of drug discovery.","['Such', 'gene']"
68,"Such tools are alreadybeing utilized by numerous drug companies (e.g., EnvericBiosciences, April19 Discovery and PharmaTher) to help identifynovel psychedelic compounds with minimal adverse effects and
maximal therapeutic bene ﬁts.","['Such', 'Discovery']"
69,"Moreover, analyzing large datasets of
clinical and preclinical studies, machine learning algorithms canidentify patterns of treatment response and predict the optimaldosing regimens for speci ﬁc patient populations.",['Moreover']
70,"Also, the
emergence of VR platforms for medicinal chemistry, e.g.,Nanome, has allowed for a 3D visualization of molecular(crystal-based and ligand-based) structures which captures detailsoften lost in 2D visualizations ( Zhavoronkov et al., 2020 ).","['Zhavoronkov', 'Also', 'Nanome']"
71,"Second, we will discuss what is known
Frontiers in Pharmacology frontiersin.org 03Acero et al.","['Pharmacology', 'Frontiers', 'Second']"
72,"Finally, we propose
novel directions for psychedelic research, and relevant in vivo and
in vitro research models that may complement future investigations.
2.2 Clinical use of psychedelics
Modern clinical use of psychedelics began with LSD- and
psilocybin-assisted therapy targeted at alleviating existentialdistress, depression, and anxiety in patients with life-threateningillnesses ( Gasser et al., 2014 ;Ross et al., 2016 ).","['Ross', 'Finally', 'Clinical', 'Modern', 'Gasser']"
73,"More importantly, thesestudies demonstrated the safety of psychedelic administrationwithin clinical settings, speci ﬁcally for alleviation of psychological
suffering.",['More']
74,"Since then, psychedelics have continued to occupy aspotlight in neuropsychopharmacology by producing similarlyrobust and long-lasting bene ﬁts in the treatment of SUD, MDD,
and PTSD.",['Since']
75,"Interestingly, the ef ﬁcacy of psychedelic-assisted therapy
was signi ﬁcantly correlated with the personal meaningfulness and
occurrence of a “mystical experience ”(Gasser et al., 2014 ;Grifﬁths
et al., 2016 ;Ross et al., 2016 ).","['Ross', 'Interestingly', 'Gasser']"
76,"Yet, as is the case with most
psychedelic clinical targets, it is unclear to what extent theclinical ef ﬁcacy is mediated by bottom-up neurobiological
modulation as opposed to a top-down cognitive mechanism.",['Yet']
77,"Wewill cover these clinical applications brie ﬂy, as they have already
been thoroughly discussed in other reviews.
2.2.1 Substance use disorders
SUD is a complex disorder with genetic, environmental, and
psychosocial etiologies.","['Wewill', 'gene', 'Substance']"
78,"It is characterized by persistent craving and/or continued and excessive use leading to dysfunctional behavior.While addiction research has helped uncover alterations todopaminergic circuit function and reward signaling pathways,these alterations are not predictive of an individual ’s capacity for
relapse and have not led to meaningful therapeutic interventions
(Hart, 2017 ;Miller et al., 2020 ).","['While', 'Hart', 'Miller']"
79,"Studies utilizing psychedelic-assisted
psychotherapy have shown promising results for improvingrecovery from this complex disease.",['Studies']
80,"Psychedelics like psilocybin,ibogaine, ayahuasca, and ketamine have been shown to facilitateabstinence from nicotine, opioids, alcohol, and cocaine respectively,as well as facilitate overall positive effects on anxiety, mood, anddepression as well ( Re et al., 2016 ;Brown and Alper, 2018 ;Jones
et al., 2018 ;Noorani et al., 2018 ).
2.2.2 Major depressive disorder and treatment
resistant depression
MDD accounts for over 50% of psychiatric consultations and is
characterized by persistent sadness and loss of interest.","['Major', 'Noorani', 'Brown', 'Psychedelics', 'Jones', 'Alper']"
81,"However, due to the lack of a
clear de ﬁnition - often interpreted as insuf ﬁcient response to two
antidepressant trials - estimates of its prevalence in the MDDpopulation can vary widely.",['However']
82,"Clinical trials, as well as animalstudies, have demonstrated multiple psychedelics, e.g., psilocybinand DMT, have fast-acting and long-lasting anti-depressant
properties ( Johnson et al., 2011 ;Robson et al., 2012 ;Palhano-
Fontes et al., 2019 ).","['Fontes', 'Clinical', 'Palhano', 'Johnson', 'Robson']"
83,"Notably, non-serotonergic psychedelics like
ketamine demonstrate fast-acting, but short lived, anti-depressant
effects.",['Notably']
84,"The recent Breakthrough Therapy designation of psilocybin
for MDD and TRD by the FDA is a testament to its clinical potential.Of note, recent phase 2 double-blind trials for psilocybin-assistedpsychotherapy for TRD found that large (25 mg) doses were able toproduce signi ﬁcant remission in 29% and 20% participants at 3-
week and 12-week post-treatment ( Goodwin et al., 2022 ).
2.2.3 Anxiety disorders
Pathological anxiety is a state of exaggerated hypervigilance and
responsiveness to fearful stimuli and has various clinicalmanifestations.","['Breakthrough', 'Goodwin', 'The', 'Pathological', 'Anxiety', 'Therapy']"
85,"Anxiety disorders, including general anxietydisorder (GAD), social anxiety disorder (SAD), and PTSD, areamenable to psychedelic treatment.","['Anxiety', 'gene']"
86,"For instance, in phase 2 trialsof MDMA-assisted psychotherapy for PTSD, 61% and 68% ofparticipants at 2 months and 1-year follow-ups, respectively, nolonger met PTSD diagnostic criteria ( Fe et al., 2019 ;Mithoefer et al.,
2019 ).","['Mithoefer', 'For']"
87,"Patients with remission have been reported to maintain
remission for up to 6 years ( Sessa et al., 2019 ).","['Patients', 'Sessa']"
88,"Notably, MDMA
is a potent stimulator of serotonin norepinephrine and oxytocinrelease, which could underlie the reported prosocial effects,emotional regulation, and attenuation of amygdala response toanxiogenic stimuli ( Morley and McGregor, 2000 ;Johansen and
Krebs, 2009 ;Carhart-Harris et al., 2014a ).
3 Psychedelic mode of action
The novel nature of psychedelic drugs might help advance and
reconstruct our paradigms for psychiatric disorders and thefundamental nature of consciousness.","['Morley', 'The', 'Johansen', 'Notably', 'Krebs', 'Harris', 'Psychedelic', 'Carhart']"
89,"Likewise, we should bewary about condensing the therapeutic mode of action into a
FIGURE 1
Therapeutic applications of psychedelics that have been
demonstrated clinically.","['Therapeutic', 'Likewise']"
90,"The clinical ef ﬁcacy is likely mediated
synergistically by multiple mechanisms of action.",['The']
91,The size of eachcircle is proportional to the amount of evidence for thismechanism of action.,['The']
92,"There are circles left empty as a reminder for theyet validated mechanisms.
Frontiers in Pharmacology frontiersin.org 04Acero et al.","['Pharmacology', 'There', 'Frontiers']"
93,"For instance, when neuroscience was a nascent
discipline, scientists grossly overemphasized the role of neurons inbrain function, due to their easy visualization and study using earlystaining techniques.",['For']
94,"However, we now know that glial cells –over 10-
fold more numerous than neurons –play key roles in regulating brain
function, homeostasis, remodeling, and perfusion, amongst many
others.",['However']
95,"Likewise, it is necessary for us to examine psychedelic
treatment through multiple scienti ﬁc lenses in order to fully
understand their effects.",['Likewise']
96,"Ultimately, it is unlikely that a singlemode of action can adequately account for the effects ofpsychedelics, instead, multi-faceted actions likely worksynergistically across multiple systems to provide robusttherapeutic effects ( Figure 1 ).
Despite advancements in understanding the various
mechanisms contributing to psychedelic therapeutic action, the
signiﬁcance of the subjective experience remains hotly contested
(Olson, 2021 ;Yaden and Grif ﬁths, 2021 ).","['Despite', 'Ultimately', 'Grif', 'Olson', 'Yaden', 'Figure']"
97,"Psychedelic-assisted
psychotherapy often aims to cultivate the profoundly meaningful,psychologically transformative experiences that often precede majorshifts in psychological wellbeing in patients.",['Psychedelic']
98,"Various scholars havedeveloped scales to quantify these experiences, which are oftenreferred to as “mystical ”,“peak ”,“or“spiritual ”(Zamberlan et al.,
2018 ;Yaden and Newberg, 2022 ).","['Various', 'Zamberlan', 'Newberg', 'Yaden']"
99,"For example, the Mystical
Experience Questionnaire (MEQ), measures seven components ofexperience: 1) internal of unity (“merging with ultimate reality ”or
“pure awareness ”); 2) external unity (“all is one ”or“all things are
alive ”); 3) transcendence of time and space ,4 ) ineffability and
paradoxicality (difﬁculty describing the experience in words); 5)
sense of sacredness (awe); 6) noetic quality (intuitive knowledge of
ultimate reality or self), 7) deeply felt positive mood .","['Mystical', 'Questionnaire', 'Experience', 'For']"
100,"Those seeking an
in-depth exploration can refer to Yaden and Newberg ’s work, The
Varieties of Spiritual Experience , which provides a thorough
multidisciplinary review of the research ( Yaden and Newberg,
2022 ).Studies suggest that the subjective intensity and quality of
peak psychedelic (or “mystical ”) experience, e.g., ego death and
increased sense of connection, is predictive of psychedelic-assisted
therapy ef ﬁcacy ( Barrett et al., 2017 ;Prelle et al., 2017 ;Roseman
et al., 2018 ;Swanson, 2018 ).","['Those', 'Barrett', 'Studies', 'Newberg', 'The', 'Swanson', 'Varieties', 'Prelle', 'Spiritual', 'Yaden', 'Roseman', 'Experience']"
101,"In the Altered States of Consciousness
(ASC) questionnaire, scores on the Oceanic Boundlessness (OBN)
scale, which quanti ﬁes mystical states of mind, were notably more
predictive of positive clinical outcomes for patients with treatment-resistant depression (TRD) than scores related to altered visual orauditory perception ( Roseman et al., 2018 ).","['Oceanic', 'Altered', 'Consciousness', 'States', 'Boundlessness', 'Roseman']"
102,"Further clarifying the
role of the subjective experience, a recent cross-sectional surveystudy examining the effects of psychedelic experiences, it was foundthat both mystical-type experiences and psychological insights
during the psychedelic experience were associated with
subsequent decreases in depression and anxiety ( Davis et al.,
2015 ).","['Davis', 'Further']"
103,"Moreover, they demonstrated that increased psychological
ﬂexibility was a mediator in the relationship between these acute
psychedelic effects and the observed decreases in depression andanxiety symptoms ( Davis et al., 2015 ).","['Moreover', 'Davis']"
104,"Notably, insightful as well as
mystical-type experiences have been identi ﬁed as subtypes of the
phenomenon of quantum change , i.e., “a sudden, distinctive,
benevolent, and enduring experience resulting in personal
transformations that affect a broad range of personal emotions,cognitions, and behavior ”(Davis et al., 2015 ).Moreover, non-psychedelic, or non-subjective, analogs of these
drugs may provide insight into the clinical signi ﬁcance of the acute
experience.","['Notably', 'Moreover', 'Davis']"
105,"2-Br-LSD and tabernathalog, non-hallucinogenicanalogs of LSD and ibogaine, respectively, have demonstratedanti-depressant and anti-addictive effects in rodents ( Cameron
et al., 2021 ;Lewis et al., 2023a ).","['Lewis', 'Cameron']"
106,"For instance, lanicemine, a non-psychedelicketamine analog, has failed to reliably recapitulate the rapid,potent anti-depressive effects of ketamine in phase II clinicalstudies for MDD ( Iadarola et al., 2015 ;Sanacora et al., 2017 ).
This raises questions about the limitations of animal models incapturing the experiential and neurobiological complexity ofbehavioral disorders in humans, and thus, whether
demonstration of ef ﬁcacy in animal models are predictive of
clinical utility in humans.
The development of non-psychedelic, or non-subjective, analogs
of psychedelic compounds primarily aims to bene ﬁt clinical
populations for whom psychedelics ’subjective effects may be
deterimental, such as those with schizophrenia or bipolardisorder ( Cheung et al., 2023 ).","['Sanacora', 'This', 'schizophrenia', 'The', 'For', 'Iadarola', 'Cheung']"
107,"Although, there is also an interest
in developing these non-subjective analogues as preferable (e.g.,
ﬁrst-inline) treatments for conditions like MDD and PTSD ( Vargas
et al., 2021 ).","['Vargas', 'Although']"
108,"These compounds are also being proposed as having
better risk/bene ﬁt proﬁles relative to traditional psychedelics, since it
could in theory be impossible to have a “bad trip ”or psychologically
overwhelming experiences.",['These']
109,"However, a survey study of challengingexperiences (i.e., “bad trips ”) after psilocybin consumption found
that degree of dif ﬁculty was positively associated with enduring
increases in wellbeing, and 84% of participants reported that they
beneﬁted from the challenging portions of their psychedelic
experience ( Barrett et al., 2017 ).","['However', 'Barrett']"
110,"Moreover, non-subjective
analogues may introduce unique risks; it is unknown how anindividual ’s psychology will be impacted from being in a highly
neuroplastic state without corresponding changes in consciousexperience to signal this alteration ( Cheung et al., 2023 ).","['Moreover', 'Cheung']"
111,"Non-subjective psychedelics, which do
not induce these bene ﬁcial psychological experiences, may not
match the ef ﬁcacy of subjective psychedelics in terms of effect
magnitude or the duration of symptom relief.",['Non']
112,"Ultimately, furtherresearch is necessary to elucidate the clinical ef ﬁcacy of these novel
non-subjective compounds.",['Ultimately']
113,"Studies that examine the ef ﬁcacy of sub-
hallucinogenic doses will also be useful in understanding thecontributions of the subjective experience to clinical outcomes.
3.1 Network disruption and increased
entropy
At the highest level of abstraction, psychedelics appear to have a
characteristic neurobiological footprint ( Figure 2A ).","['Network', 'Figure', 'Studies']"
114,"The functional
disruption of networks is suspected to (directly or indirectly)facilitate the unique psychological and phenomenological aspects
of the psychedelic experience ( Figure 2B ).","['Figure', 'The']"
115,"Whole-brain networks are
functionally disintegrated and desegregated, i.e., decreased short-
distance within-network and increased long-distance between-
Frontiers in Pharmacology frontiersin.org 05Acero et al.","['Pharmacology', 'Frontiers', 'Whole']"
